BSSID,PHY Type,Channel,Frequency,Signal Strength,Retry,Number,Data Rate,Short GI,MCS index,Time Arrived,Packet Arrived,Bandwidth,Rate Gap
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,1,72.2222,1,7,1743194260.651476,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,2,72.2222,1,7,1743194260.651483,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,3,72.2222,1,7,1743194260.651486,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,4,72.2222,1,7,1743194260.651487,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,5,72.2222,1,7,1743194260.651489,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,6,72.2222,1,7,1743194260.651489,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,7,72.2222,1,7,1743194260.651492,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,8,72.2222,1,7,1743194260.651493,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,9,72.2222,1,7,1743194260.651512,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,10,72.2222,1,7,1743194260.651513,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,11,72.2222,1,7,1743194260.651514,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,12,72.2222,1,7,1743194260.651515,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,13,72.2222,1,7,1743194260.651517,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,14,72.2222,1,7,1743194260.651518,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,15,72.2222,1,7,1743194260.65152,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,16,72.2222,1,7,1743194260.651521,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,17,72.2222,1,7,1743194260.651526,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,18,72.2222,1,7,1743194260.651527,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,19,72.2222,1,7,1743194260.651529,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,20,72.2222,1,7,1743194260.65153,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,21,72.2222,1,7,1743194260.651533,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,22,72.2222,1,7,1743194260.651533,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,23,72.2222,1,7,1743194260.651535,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,24,72.2222,1,7,1743194260.651536,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,25,72.2222,1,7,1743194260.651542,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,26,72.2222,1,7,1743194260.651543,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,27,72.2222,1,7,1743194260.651848,1532,20,0
