bssid, phy_type, channel, frequency, signal_strength, retry, number, data_rate, short_GI, mcs_index, time_arrived, packet_size
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,1,6,0,7,1742468841.272014,167
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,2,6,0,7,1742468841.272014,282
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,3,6,0,7,1742468841.272014,373
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,4,6,0,7,1742468841.272014,232
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,5,6,0,7,1742468841.272033,497
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,6,6,0,7,1742468841.272036,281
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,7,6,0,7,1742468841.272039,482
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,8,6,0,7,1742468841.272039,227
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-73,0,9,6,0,7,1742468841.371307,298
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,10,6,0,7,1742468841.371307,180
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,11,6,0,7,1742468841.371308,339
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,12,6,0,7,1742468841.371308,566
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,13,6,0,7,1742468841.371331,294
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,14,6,0,7,1742468841.477223,292
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,15,6,0,7,1742468841.477223,411
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,16,6,0,7,1742468841.477223,247
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,17,6,0,7,1742468841.477223,282
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,18,6,0,7,1742468841.477223,196
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,19,6,0,7,1742468841.477233,285
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,20,6,0,7,1742468841.477249,385
